channel,position,x_mm,y_mm,z_mm,initial_time_sec,optimized_time_sec,time_difference_sec
1,0,-5,0,-20,4.657775820855252,4.657775820855252,0.0
1,1,-5,0,-15,4.738034583894969,4.738034583894969,0.0
1,2,-5,0,-10,4.80488629105076,4.80488629105076,0.0
1,3,-5,0,-5,4.774950786934728,4.774950786934728,0.0
1,4,-5,0,0,4.732537110603298,4.732537110603298,0.0
1,5,-5,0,5,4.774951047285647,4.774951047285647,0.0
1,6,-5,0,10,4.804886040776298,4.804886040776298,0.0
1,7,-5,0,15,4.738035352078273,4.738035352078273,0.0
1,8,-5,0,20,4.657776108950489,4.657776108950489,0.0
2,0,5,0,-20,4.526832860396765,4.526832860396765,0.0
2,1,5,0,-15,4.468304193790087,4.468304193790087,0.0
2,2,5,0,-10,4.3488119032077295,4.3488119032077295,0.0
2,3,5,0,-5,4.186648772813324,4.186648772813324,0.0
2,4,5,0,0,4.102984712047778,4.102984712047778,0.0
2,5,5,0,5,4.186647558719862,4.186647558719862,0.0
2,6,5,0,10,4.3488110077241755,4.3488110077241755,0.0
2,7,5,0,15,4.468304504080939,4.468304504080939,0.0
2,8,5,0,20,4.526832111999753,4.526832101999753,-9.99999993922529e-09
